instrument,anomaly_type,count
X_25123_21800_CE,Gamma spike,488
X_25123_21800_CE,Mispricing,254
X_25123_21800_CE,IV spike,212
X_25123_21800_CE,Price jump,185
X_25123_21800_CE,Spread widening,90
X_25123_21800_PE,Price jump,395
X_25123_21800_PE,IV spike,339
X_25123_21800_PE,Mispricing,278
X_25123_21800_PE,Spread widening,176
X_25123_21800_PE,Gamma spike,133
X_25123_21850_CE,Gamma spike,508
X_25123_21850_CE,Mispricing,320
X_25123_21850_CE,Price jump,284
X_25123_21850_CE,IV spike,191
X_25123_21850_CE,Spread widening,165
X_25123_21850_PE,Price jump,745
X_25123_21850_PE,Mispricing,466
X_25123_21850_PE,Spread widening,383
X_25123_21850_PE,IV spike,319
X_25123_21850_PE,Gamma spike,138
X_25123_21900_CE,Gamma spike,545
X_25123_21900_CE,Price jump,258
X_25123_21900_CE,Mispricing,238
X_25123_21900_CE,IV spike,230
X_25123_21900_CE,Spread widening,139
X_25123_21900_PE,Price jump,429
X_25123_21900_PE,Mispricing,342
X_25123_21900_PE,IV spike,339
X_25123_21900_PE,Spread widening,216
X_25123_21900_PE,Gamma spike,137
X_25123_21950_CE,Gamma spike,570
X_25123_21950_CE,Mispricing,313
X_25123_21950_CE,Price jump,260
X_25123_21950_CE,IV spike,219
X_25123_21950_CE,Spread widening,146
X_25123_21950_PE,Price jump,610
X_25123_21950_PE,Mispricing,380
X_25123_21950_PE,Spread widening,318
X_25123_21950_PE,IV spike,310
X_25123_21950_PE,Gamma spike,155
X_25123_22000_CE,Gamma spike,788
X_25123_22000_CE,Price jump,625
X_25123_22000_CE,IV spike,339
X_25123_22000_CE,Spread widening,300
X_25123_22000_CE,Mispricing,260
X_25123_22000_PE,Price jump,976
X_25123_22000_PE,Spread widening,532
X_25123_22000_PE,Mispricing,486
X_25123_22000_PE,IV spike,277
X_25123_22000_PE,Gamma spike,141
X_25123_22050_CE,Gamma spike,791
X_25123_22050_CE,Price jump,531
X_25123_22050_CE,Spread widening,283
X_25123_22050_CE,Mispricing,269
X_25123_22050_CE,IV spike,238
X_25123_22050_PE,Price jump,853
X_25123_22050_PE,Spread widening,491
X_25123_22050_PE,Mispricing,411
X_25123_22050_PE,IV spike,302
X_25123_22050_PE,Gamma spike,160
X_25123_22100_CE,Gamma spike,599
X_25123_22100_CE,IV spike,273
X_25123_22100_CE,Mispricing,264
X_25123_22100_CE,Price jump,233
X_25123_22100_CE,Spread widening,110
X_25123_22100_PE,Price jump,867
X_25123_22100_PE,Spread widening,511
X_25123_22100_PE,Mispricing,421
X_25123_22100_PE,IV spike,317
X_25123_22100_PE,Gamma spike,142
X_25123_22150_CE,Gamma spike,635
X_25123_22150_CE,Price jump,401
X_25123_22150_CE,Mispricing,274
X_25123_22150_CE,IV spike,260
X_25123_22150_CE,Spread widening,194
X_25123_22150_PE,Price jump,875
X_25123_22150_PE,Mispricing,452
X_25123_22150_PE,Spread widening,437
X_25123_22150_PE,IV spike,276
X_25123_22150_PE,Gamma spike,162
X_25123_22200_CE,Gamma spike,660
X_25123_22200_CE,Mispricing,411
X_25123_22200_CE,IV spike,322
X_25123_22200_CE,Price jump,190
X_25123_22200_CE,Spread widening,90
X_25123_22200_PE,Price jump,972
X_25123_22200_PE,Spread widening,471
X_25123_22200_PE,Mispricing,435
X_25123_22200_PE,IV spike,284
X_25123_22200_PE,Gamma spike,139
X_25123_22250_CE,Gamma spike,537
X_25123_22250_CE,Mispricing,430
X_25123_22250_CE,Price jump,294
X_25123_22250_CE,IV spike,231
X_25123_22250_CE,Spread widening,181
X_25123_22250_PE,Price jump,962
X_25123_22250_PE,Spread widening,496
X_25123_22250_PE,Mispricing,435
X_25123_22250_PE,IV spike,262
X_25123_22250_PE,Gamma spike,141
X_25123_22300_CE,Gamma spike,562
X_25123_22300_CE,Mispricing,387
X_25123_22300_CE,IV spike,299
X_25123_22300_CE,Price jump,200
X_25123_22300_CE,Spread widening,108
X_25123_22300_PE,Price jump,1023
X_25123_22300_PE,Spread widening,518
X_25123_22300_PE,Mispricing,470
X_25123_22300_PE,IV spike,299
X_25123_22300_PE,Gamma spike,141
X_25123_22350_CE,Gamma spike,590
X_25123_22350_CE,Mispricing,537
X_25123_22350_CE,Price jump,492
X_25123_22350_CE,IV spike,296
X_25123_22350_CE,Spread widening,280
X_25123_22350_PE,Price jump,919
X_25123_22350_PE,Spread widening,476
X_25123_22350_PE,Mispricing,457
X_25123_22350_PE,IV spike,289
X_25123_22350_PE,Gamma spike,150
X_25123_22400_CE,Mispricing,483
X_25123_22400_CE,Gamma spike,382
X_25123_22400_CE,IV spike,216
X_25123_22400_CE,Price jump,140
X_25123_22400_CE,Spread widening,69
X_25123_22400_PE,Price jump,993
X_25123_22400_PE,Spread widening,521
X_25123_22400_PE,Mispricing,420
X_25123_22400_PE,IV spike,287
X_25123_22400_PE,Gamma spike,146
X_25123_22450_CE,Mispricing,675
X_25123_22450_CE,Price jump,370
X_25123_22450_CE,Gamma spike,278
X_25123_22450_CE,Spread widening,190
X_25123_22450_CE,IV spike,143
X_25123_22450_PE,Price jump,960
X_25123_22450_PE,Spread widening,567
X_25123_22450_PE,Mispricing,437
X_25123_22450_PE,IV spike,269
X_25123_22450_PE,Gamma spike,140
X_25123_22500_CE,Price jump,921
X_25123_22500_CE,Spread widening,467
X_25123_22500_CE,Mispricing,424
X_25123_22500_CE,Gamma spike,144
X_25123_22500_CE,IV spike,89
X_25123_22500_PE,Price jump,1083
X_25123_22500_PE,Spread widening,503
X_25123_22500_PE,Mispricing,416
X_25123_22500_PE,IV spike,235
X_25123_22500_PE,Gamma spike,150
X_25123_22550_CE,Price jump,931
X_25123_22550_CE,Mispricing,586
X_25123_22550_CE,Spread widening,529
X_25123_22550_CE,IV spike,148
X_25123_22550_CE,Gamma spike,136
X_25123_22550_PE,Price jump,927
X_25123_22550_PE,Spread widening,467
X_25123_22550_PE,Mispricing,393
X_25123_22550_PE,IV spike,250
X_25123_22550_PE,Gamma spike,154
X_25123_22600_CE,Mispricing,493
X_25123_22600_CE,Price jump,423
X_25123_22600_CE,Spread widening,247
X_25123_22600_CE,Gamma spike,162
X_25123_22600_CE,IV spike,155
X_25123_22600_PE,Price jump,996
X_25123_22600_PE,Spread widening,422
X_25123_22600_PE,Mispricing,371
X_25123_22600_PE,IV spike,281
X_25123_22600_PE,Gamma spike,154
X_25123_22650_CE,Price jump,1076
X_25123_22650_CE,Spread widening,516
X_25123_22650_CE,Mispricing,474
X_25123_22650_CE,Gamma spike,144
X_25123_22650_CE,IV spike,99
X_25123_22650_PE,Price jump,878
X_25123_22650_PE,Spread widening,479
X_25123_22650_PE,Mispricing,334
X_25123_22650_PE,IV spike,299
X_25123_22650_PE,Gamma spike,156
X_25123_22700_CE,Price jump,1064
X_25123_22700_CE,Spread widening,586
X_25123_22700_CE,Mispricing,329
X_25123_22700_CE,Gamma spike,149
X_25123_22700_CE,IV spike,125
X_25123_22700_PE,Price jump,998
X_25123_22700_PE,Spread widening,440
X_25123_22700_PE,Mispricing,319
X_25123_22700_PE,IV spike,265
X_25123_22700_PE,Gamma spike,151
X_25123_22750_CE,Price jump,1040
X_25123_22750_CE,Spread widening,590
X_25123_22750_CE,Mispricing,321
X_25123_22750_CE,IV spike,149
X_25123_22750_CE,Gamma spike,135
X_25123_22750_PE,Price jump,999
X_25123_22750_PE,Spread widening,455
X_25123_22750_PE,Mispricing,331
X_25123_22750_PE,IV spike,297
X_25123_22750_PE,Gamma spike,149
X_25123_22800_CE,Price jump,1013
X_25123_22800_CE,Spread widening,580
X_25123_22800_CE,Mispricing,304
X_25123_22800_CE,IV spike,159
X_25123_22800_CE,Gamma spike,116
X_25123_22800_PE,Price jump,1060
X_25123_22800_PE,Spread widening,475
X_25123_22800_PE,Mispricing,313
X_25123_22800_PE,IV spike,255
X_25123_22800_PE,Gamma spike,160
X_25123_22850_CE,Price jump,974
X_25123_22850_CE,Spread widening,486
X_25123_22850_CE,Mispricing,317
X_25123_22850_CE,IV spike,153
X_25123_22850_CE,Gamma spike,123
X_25123_22850_PE,Price jump,951
X_25123_22850_PE,Spread widening,518
X_25123_22850_PE,Mispricing,298
X_25123_22850_PE,IV spike,255
X_25123_22850_PE,Gamma spike,149
X_25123_22900_CE,Price jump,880
X_25123_22900_CE,Spread widening,501
X_25123_22900_CE,Mispricing,319
X_25123_22900_CE,IV spike,158
X_25123_22900_CE,Gamma spike,136
X_25123_22900_PE,Price jump,1053
X_25123_22900_PE,Spread widening,525
X_25123_22900_PE,Mispricing,285
X_25123_22900_PE,IV spike,276
X_25123_22900_PE,Gamma spike,152
X_25123_22950_CE,Price jump,871
X_25123_22950_CE,Spread widening,472
X_25123_22950_CE,Mispricing,298
X_25123_22950_CE,IV spike,167
X_25123_22950_CE,Gamma spike,165
X_25123_22950_PE,Price jump,898
X_25123_22950_PE,Spread widening,493
X_25123_22950_PE,IV spike,258
X_25123_22950_PE,Mispricing,226
X_25123_22950_PE,Gamma spike,161
X_25123_23000_CE,Price jump,991
X_25123_23000_CE,Spread widening,509
X_25123_23000_CE,Mispricing,311
X_25123_23000_CE,Gamma spike,159
X_25123_23000_CE,IV spike,151
X_25123_23000_PE,Price jump,1103
X_25123_23000_PE,Spread widening,586
X_25123_23000_PE,IV spike,255
X_25123_23000_PE,Mispricing,237
X_25123_23000_PE,Gamma spike,158
X_25123_23050_CE,Price jump,943
X_25123_23050_CE,Spread widening,532
X_25123_23050_CE,Mispricing,319
X_25123_23050_CE,Gamma spike,211
X_25123_23050_CE,IV spike,134
X_25123_23050_PE,Price jump,815
X_25123_23050_PE,Spread widening,414
X_25123_23050_PE,IV spike,333
X_25123_23050_PE,Mispricing,207
X_25123_23050_PE,Gamma spike,192
X_25123_23100_CE,Price jump,889
X_25123_23100_CE,Spread widening,462
X_25123_23100_CE,Mispricing,321
X_25123_23100_CE,Gamma spike,277
X_25123_23100_CE,IV spike,147
X_25123_23100_PE,Price jump,1019
X_25123_23100_PE,Spread widening,497
X_25123_23100_PE,IV spike,251
X_25123_23100_PE,Mispricing,212
X_25123_23100_PE,Gamma spike,157
X_25123_23150_CE,Price jump,932
X_25123_23150_CE,Spread widening,424
X_25123_23150_CE,Mispricing,335
X_25123_23150_CE,Gamma spike,243
X_25123_23150_CE,IV spike,130
X_25123_23150_PE,Price jump,934
X_25123_23150_PE,Spread widening,474
X_25123_23150_PE,IV spike,299
X_25123_23150_PE,Gamma spike,175
X_25123_23150_PE,Mispricing,166
X_25123_23200_CE,Price jump,997
X_25123_23200_CE,Spread widening,512
X_25123_23200_CE,Mispricing,296
X_25123_23200_CE,Gamma spike,240
X_25123_23200_CE,IV spike,134
X_25123_23200_PE,Price jump,1085
X_25123_23200_PE,Spread widening,535
X_25123_23200_PE,IV spike,225
X_25123_23200_PE,Mispricing,169
X_25123_23200_PE,Gamma spike,162
X_25123_23250_CE,Price jump,1042
X_25123_23250_CE,Spread widening,495
X_25123_23250_CE,Mispricing,305
X_25123_23250_CE,Gamma spike,300
X_25123_23250_CE,IV spike,113
X_25123_23250_PE,Price jump,921
X_25123_23250_PE,Spread widening,447
X_25123_23250_PE,IV spike,307
X_25123_23250_PE,Gamma spike,173
X_25123_23250_PE,Mispricing,150
X_25123_23300_CE,Price jump,993
X_25123_23300_CE,Spread widening,406
X_25123_23300_CE,Mispricing,317
X_25123_23300_CE,Gamma spike,244
X_25123_23300_CE,IV spike,126
X_25123_23300_PE,Price jump,988
X_25123_23300_PE,Spread widening,484
X_25123_23300_PE,IV spike,268
X_25123_23300_PE,Gamma spike,216
X_25123_23300_PE,Mispricing,153
X_25123_23350_CE,Price jump,947
X_25123_23350_CE,Spread widening,466
X_25123_23350_CE,Mispricing,309
X_25123_23350_CE,Gamma spike,295
X_25123_23350_CE,IV spike,148
X_25123_23350_PE,Price jump,1025
X_25123_23350_PE,Spread widening,530
X_25123_23350_PE,IV spike,299
X_25123_23350_PE,Mispricing,162
X_25123_23350_PE,Gamma spike,119
X_25123_23400_CE,Price jump,970
X_25123_23400_CE,Spread widening,496
X_25123_23400_CE,Mispricing,317
X_25123_23400_CE,Gamma spike,278
X_25123_23400_CE,IV spike,146
X_25123_23400_PE,Price jump,1042
X_25123_23400_PE,Spread widening,529
X_25123_23400_PE,IV spike,245
X_25123_23400_PE,Mispricing,167
X_25123_23400_PE,Gamma spike,131
X_25123_23450_CE,Price jump,946
X_25123_23450_CE,Spread widening,503
X_25123_23450_CE,Mispricing,304
X_25123_23450_CE,Gamma spike,281
X_25123_23450_CE,IV spike,142
X_25123_23450_PE,Price jump,957
X_25123_23450_PE,Spread widening,533
X_25123_23450_PE,IV spike,260
X_25123_23450_PE,Mispricing,167
X_25123_23450_PE,Gamma spike,152
X_25123_23500_CE,Price jump,1034
X_25123_23500_CE,Spread widening,415
X_25123_23500_CE,Gamma spike,327
X_25123_23500_CE,Mispricing,286
X_25123_23500_CE,IV spike,156
X_25123_23500_PE,Price jump,966
X_25123_23500_PE,Spread widening,471
X_25123_23500_PE,IV spike,262
X_25123_23500_PE,Mispricing,147
X_25123_23500_PE,Gamma spike,133
X_25123_23550_CE,Price jump,1053
X_25123_23550_CE,Spread widening,553
X_25123_23550_CE,Mispricing,326
X_25123_23550_CE,Gamma spike,275
X_25123_23550_CE,IV spike,115
X_25123_23550_PE,Price jump,1020
X_25123_23550_PE,Spread widening,517
X_25123_23550_PE,IV spike,285
X_25123_23550_PE,Gamma spike,175
X_25123_23550_PE,Mispricing,158
X_25123_23600_CE,Price jump,1029
X_25123_23600_CE,Spread widening,501
X_25123_23600_CE,Mispricing,342
X_25123_23600_CE,Gamma spike,265
X_25123_23600_CE,IV spike,106
X_25123_23600_PE,Price jump,1058
X_25123_23600_PE,Spread widening,552
X_25123_23600_PE,IV spike,246
X_25123_23600_PE,Gamma spike,176
X_25123_23600_PE,Mispricing,170
X_25123_23650_CE,Price jump,1022
X_25123_23650_CE,Spread widening,545
X_25123_23650_CE,Mispricing,338
X_25123_23650_CE,Gamma spike,287
X_25123_23650_CE,IV spike,153
X_25123_23650_PE,Price jump,973
X_25123_23650_PE,Spread widening,518
X_25123_23650_PE,IV spike,296
X_25123_23650_PE,Gamma spike,206
X_25123_23650_PE,Mispricing,152
X_25123_23700_CE,Price jump,993
X_25123_23700_CE,Spread widening,505
X_25123_23700_CE,Mispricing,329
X_25123_23700_CE,Gamma spike,311
X_25123_23700_CE,IV spike,111
X_25123_23700_PE,Price jump,920
X_25123_23700_PE,Spread widening,460
X_25123_23700_PE,IV spike,282
X_25123_23700_PE,Gamma spike,190
